category,name,description,ingredients,legend,green,yellow,blue,red,total,instructions,url
Dinner,Taco Night,Make it Taco Tuesday any day of the week!,"150g grilled chicken breast strips; 2 taco shells; 1 cup sautéed peppers/onions; 1/2 cup shredded romaine lettuce; 1 tbsp. sour cream, light; 1 tbsp shredded mozarella cheese, light; 2 tbsp mixed avocado and lemon juice",HH,4,2,2,4,12,"1. Line taco shells with romaine lettuce.; 2. Add chicken breast and peppers/onions to taco shells.; 3. Serve topped with sour cream, mozarella cheese and avocado mixture as desired.",http://www.foodinaminute.co.nz/var/fiam/storage/images/recipes/old-el-paso-stand-n-stuff-chicken-tacos/6796715-13-eng-US/Old-El-Paso-Stand-n-Stuff-Chicken-Tacos_recipeimage.jpg
Dinner,Tasty Meat Sauce,"A lean, mean, italian classic!","150g x-lean ground turkey with onions and garlic; 1 cup chopped zucchini, peppers, carrots, kale, garlic; 1 cup canned crushed tomatoes; 2 tbsp tomato paste; 1/2 cup whole-grain pasta; 2 tbsp. parmesan cheese, light. ",F; HM; S; HH,4,2,2,4,12,"1. Lightly oil/spray skillet or saucepan with 1 tsp vegetable oil.; 2. Cook ground turkey with onions and garlic.; 3. Add chopped vegetables, crushed tomatoes, and tomato pasted when turkey cooked.; 4. Simmer for 10 minutes and serve with pasta.",http://bed56888308e93972c04-0dfc23b7b97881dee012a129d9518bae.r34.cf1.rackcdn.com/sites/default/files/imagecache/310_square/spaghetti_recipes.jpg
Dinner,The Original Goods,"Steak and ""spuds,"" anyone?","75g Steak; 15 steamed asaparagus with  lemon juice; 1/2 cup mashed potato; 1 cup mashed cauliflower; 25g cheddar cheese, light; 1 tbsp. oil; 1 garlic clove, chopped",HM; HH; C,4,2,2,4,12,"1. Lightly oil/spray skillet with 1 tsp vegetable oil.; 2. Cook steak as desired.; 3. Chop potatoes and cauliflower into small cubes and boil until softened. Drain water when everything softened, and then add oil, cheese, garlic and salt - mash untile desired consistency.; 4. Serve with steamed asparagus and mashed “potatoes.”",http://photos.happyherbivore.com/2010/03/scaled.DSC_0149.JPG
Dinner,Three-layered Sheppard's Pie,"3x the pie,  1/2 the fat!","100g x-lean ground turkey; 1/2 cup mashed butternut squash; 1/2 cup mashed sweet potato; 2 cups onions, garlic, zucchini, peppers, carrots, celery; cheddar cheese, light; 1 cup Garden salad; 1.5 tbsp salad dressing",HH; HM; F,4,2,2,4,12,"1. Preheat oven to 350°F.; 2. Thoroughly cook ground turkey, onions, garlic, zucchini, peppers, carrots and celery.; 3. Line the bottom of a bake-safe container with mashed butternut squash.; 4. Layer ground turkey mixture on top of mashed butternut squash.; 5.Layer mashed sweet potato over ground turkey mixture. Sprinkle cheese on top.; 6. Cook for 30 minutes or until golden brown. Serve with garden salad.",https://www.freshdirect.com/pdp.jsp?productId=var_vegds_shppie&catId=hmr_fresh_vegcuisine
Dinner,Stir-Fry it up!,"Fry it, stir it, eat it.","75g grilled x-firm tofu cubes; 6 shrimp; 75g chicken; 1 cup bok choy, snow peas, slivered carrots, bean sprouts; 1/2 cup whole-grain rice; 1/2 cup shredded cauliflower; 2 tbsp. light teriyaki sauce; 1 tbsp. peanut sauce; 1 tbsp lemon or lime juice; 3/4 cup plain yogurt (fat-free)",F; HM; S; HH; C,4,2,2,4,12,"1. Combine sauce in a small bowl. 2. Lightly oil skillet/wok with 1 tsp vegetable oil.; 3. Thoroughly cook tofu, shrimp and chicken. Add vegetables when ready.; 4. Add sauce and mix thoroughly. Serve with rice/cauliflower mixture, and yogurt on the side.",http://www.partial-ingredients.com/wp-content/uploads/2011/11/p10306666666666631.jpg
Dinner,McDonald's,McChicken & Caesar Side Salad ,,FF,1,4,2,5,12,,http://www.mcdonalds.ca/ca/en/menu/full_menu/sandwiches/mcchicken.html#/
Snacks ,Fruity Parfait,"Layered, creamy goodness!",3/4 cup yogurt (fat-free); 1/2 cup berries; 1 tsp. cinnamon,HH,2,0,1,0,3,1. Layer yogurt and fruit until ingredients are all used up.; 2. Top with cinnamon for extra flavour.,http://www.ultimate-guide-to-greek-food.com/images/greek-yogurt-berries.jpg
Snacks ,Cheesy crackers ,Cool and cheesy!,"4 whole-grain crackers; 2 tbsp cream cheese, light; 6 slices cucumber",F; HH,1,1,1,0,3,1. Spread cream cheese on top of crackers.; 2. Top crackers with cucumber slices. ,http://cdn.sheknows.com/articles/2011/12/cucumber-dill-cracker.jpg
Snacks ,Veggies & dip ,Fight afternoon lag!,2 tbsp. hummus; 2 cups raw vegetable sticks,,1,0,0,1,2,"1. Chop vegetables into sticks, and dip into hummus for flavour. ",http://wonderly.com/wp-content/uploads/2013/08/hummus-636_0.jpg
Snacks ,Munchies ,Pop it up and pop it in!,1 cups air-popped popcorn; 1 tbsp soy nuts,F,1,0,0,1,2,1. Pop popcorn in microwave or stove top.; 2. Sprinkle soy nuts over popped popcorn. ,http://rabbitfoodformybunnyteeth.com/wp-content/uploads/2013/01/IMG_6177-520x346.jpg
Snacks ,Fresh crunch ,How many apple slices can you get in a cracker sandwich?,"4 whole grain crackers; 1/2 can tuna; 1 tsp. light mayo; 8 grapes, halved ",F,1,1,0,1,3,"1. Mix tuna and mayo together in a bowl.; 2. Spread tuna mix over crackers.; 3. Slice grapes in half, and top crackers with grapes. ",https://happydietitian.files.wordpress.com/2012/02/ritz.jpg
Snacks ,McDonald's ,Chicken Snack Wrap,,FF,,1,1,2,4,,http://www.mcdonalds.ca/ca/en/menu/full_menu/sandwiches/chicken_snack_wrap.html#/
